verbe	v_dico	v_corpus	v_trans	v_tel	v_asp	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	act_res
loler	non	oui	intrans	n_tel	act	ag	na	na	1	non
tataner	non	oui	trans	n_tel	act	ag	pa	na	2	non
miton(n)er1	oui	oui	trans	tel	acc	ag	pa	na	2	oui
miton(n)er2	non	oui	intrans	n_tel	act	ag	na	na	1	oui
compatir	oui	oui	intrans	n_tel	etat	exp	na	th	2	non
siester	oui	oui	intrans	n_tel	act	ag	na	na	1	non
se gameller	non	oui	intrans	tel	ach	ag	na	na	1	non
flashouiller1	non	oui	trans	tel	ach	ag	th	na	2	non
rêvasser	oui	oui	intrans	n_tel	act	ag	na	na	1	non
désencrasser	oui	oui	trans	tel	ach_grad	ag	pa	na	2	non
rempiler	oui	oui	intrans	n_tel	act	ag	na	na	1	non
insérer	oui	oui	trans	tel	ach	ag	th	loc	3	non
décompartimenter	non	oui	trans	tel	ach	ag	pa	na	2	non
tutoyer	oui	oui	trans	n_tel	act	ag	th	na	2	non
se gausser	oui	oui	intrans	n_tel	act	ag	na	th	2	non
rétrécir	oui	oui	trans	tel	ach_grad	ag	pa	na	2	non
décérébrer	oui	oui	trans	tel	ach_grad	ag	pa	na	2	non
complimenter1	oui	oui	trans	n_tel	act	ag	th	na	2	oui
ronchon(n)er	oui	oui	intrans	n_tel	act	ag	na	na	1	non
rassurer1	oui	oui	trans	tel	ach_grad	ag	exp	na	2	oui
entasser1	oui	oui	trans	n_tel	act	ag	th	na	2	oui
revenir	oui	oui	intrans	tel	ach	ag	na	na	1	non
blâmer	oui	oui	trans	n_tel	act	ag	th	na	2	non
croquer	oui	oui	trans	tel	ach	ag	pa	na	2	non
terminer	oui	oui	trans	tel	ach	ag	pa	na	2	non
