nom	freq	verbe	v_dico	v_corpus	v_trans	v_tel	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	n_onto	n_rel	n_asp	n_rol_cplt1	n_rol_cplt2	n_rol_cplt3	n_nb_arg	n_polys	v_polys	si_polys_v_base_unq	act_res	herit_asp	v_rol_inc	n_rol_inc	herit_Sa
alcoolisage2	4	alcooliser1	oui	oui	trans	2	ag	pa	na	2	ppt	res	etat	sg	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
transbahutage	1	transbahuter	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
saoûlage1	2	saoûler	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
saoûlage2	1	se saoûler	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	oui	oui	non	non	oui	incl	incl	oui
enfourchage	2	enfourcher	oui	oui	trans	1	ag	loc	na	2	act	na	ach	loc	ag	na	2	non	non	non	non	oui	incl	incl	oui
déshéritage	2	déshériter	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
soldage	2	solder	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
entremêlage1	2	entremêler	oui	oui	trans	1	ag	pa	pa	3	act	na	ach	pa	pa	ag	3	oui	oui	non	non	oui	incl	incl	oui
entremêlage2	na	s'entremêler1	oui	oui	intrans	1	pa	na	pa	2	act	na	ach	pa	pa	na	2	oui	oui	oui	oui	oui	incl	incl	oui
entremêlage3	na	s'entremêler1	oui	oui	intrans	1	pa	na	pa	2	obj	res	na	part	na	na	1	oui	oui	oui	oui	na	noninc	noninc	non
fusionnage1	2	fusionner1	oui	oui	trans	1	ag	pa	pa	3	act	na	acc	pa	pa	ag	3	oui	non	oui	oui	oui	incl	incl	oui
fusionnage2	na	fusionner1	oui	oui	trans	1	ag	pa	pa	3	obj	res	na	part	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
dupliquage1	1	dupliquer1	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
dupliquage2	na	dupliquer1	oui	oui	trans	1	ag	pa	na	2	obj	res	na	th	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
diplômage1	1	diplômer1	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
diplômage2	na	diplômer1	oui	oui	trans	1	ag	pa	na	2	ppt	res	etat	sg	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
tagguage1	1	tag(g)uer1	oui	oui	trans	1	ag	pa	loc	3	act	na	ach	pa	ag	loc	3	oui	non	oui	oui	oui	incl	incl	oui
tagguage2	na	tag(g)uer1	oui	oui	trans	1	ag	pa	loc	3	cog	res	na	ag	na	na	1	oui	non	oui	oui	na	noninc	incl	non
réessayage	1	réessayer	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
arrangeage	2	arranger	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
enjambage	1	enjamber	oui	oui	trans	1	ag	loc	na	2	act	na	acc	loc	ag	na	2	non	non	non	non	oui	incl	incl	oui
bullshitage1	1	bullshiter1	non	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
bullshitage2	na	bullshiter1	non	oui	trans	0	ag	th	na	2	cog	res	na	ag	na	na	1	oui	non	oui	oui	na	noninc	incl	non
débattage	1	débattre	oui	oui	intrans	0	ag	na	th	2	act	na	act	ag	th	na	2	non	non	non	non	oui	incl	incl	oui
empruntage1	1	emprunter1	oui	oui	trans	0	ag	th	benf	3	act	na	act	th	benf	ag	3	oui	oui	non	non	oui	incl	incl	oui
empruntage2	na	emprunter2	oui	oui	trans	0	ag	loc	na	2	act	na	act	loc	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
franchissage	1	franchir	oui	oui	trans	1	ag	loc	na	2	act	na	ach	loc	ag	na	2	non	non	non	non	oui	incl	incl	oui
confinage1	1	confiner1	oui	oui	trans	0	ag	th	loc	3	act	na	act	th	loc	ag	3	oui	non	oui	non	oui	incl	incl	oui
confinage2	na	confiner1	oui	oui	trans	0	ag	th	loc	3	obj	loc	na	na	na	na	0	oui	non	oui	non	na	noninc	noninc	non
résumage1	1	résumer1	oui	oui	trans	1	ag	th	na	2	act	na	acc	th	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
résumage2	na	résumer1	oui	oui	trans	1	ag	th	na	2	cog	res	na	th	na	na	1	oui	non	oui	oui	na	noninc	incl	non
musculage	1	muscler	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	1	non	non	non	non	oui	incl	incl	oui
assistage	1	assister	oui	oui	intrans	0	ag	na	th	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
recherchage	1	rechercher	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
entrecoupage1	1	entrecouper	oui	oui	trans	1	ag	pa	pa	3	act	na	ach	pa	pa	ag	3	oui	oui	non	non	oui	incl	incl	oui
entrecoupage2	na	s'entrecouper	oui	oui	intrans	0	sg	na	na	1	ppt	na	etat	sg	na	na	1	oui	oui	non	non	oui	incl	incl	oui
galoppage	1	galoper	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
molestage	1	molester	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
